Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
his,poss. determiner - m. pl. [a]: ses,poss. determiner - m. sg. [a]: son; sa,poss. pron. - m. sg. [o]: à lui; le sien; la sienne,,,,,,,,,,,,,,,,,,,,,,,,,,,
His Eminence,title [n]: Son Éminence [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His Royal Highness,title - man [n]: Son Altesse Royale [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiss,sound [n]: sifflement [m],sound [v]: siffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His Serene Highness,term of address - man [o]: son Altesse sérénissime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
histamine,pharmacy [n]: histamine [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
histology,science [n]: histologie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historian,history - man [n]: historien [m]; historiographe [m],history - woman [n]: historienne [f]; historiographe [f],science - man [n]: historien [m],science - woman [n]: historienne [f],,,,,,,,,,,,,,,,,,,,,,,,,,
historic,importance [a]: historique,history [a]: historique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical,history [a]: historique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historiographer,history - man [n]: historien [m]; historiographe [m],history - woman [n]: historienne [f]; historiographe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdings,possessions [n]: propriétés [fp]; possessions [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold it against somebody,accusation [v]: reprocher quelque chose à quelqu'un; blâmer quelqu'un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold off,distance [v]: tenir à distance; contenir; retenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold on,telephone [v]: attendre; ne pas quitter; rester en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold on to,opinion [v]: maintenir; se cramponner à; rester fidèle à; ne pas démordre de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeydew melon,botany - fruit [n]: melon [m] d'hiver; melon [m] d'Antibes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeymoon,wedding [n]: lune [f] de miel; voyage [m] de noces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeysuckle,botany - culinary [n]: chèvrefeuille [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honk,automobiles [v]: klaxonner; corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinterland,geography [n]: arrière-pays [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hip,anatomy [n]: hanche [f],botany [n]: gratte-cul [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hippie,man [n]: hippie [m],woman [n]: hippie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hippodrome,sports - horse racing [n]: champ [m] de courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hippopotamus,zoology [n]: hippopotame [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hire,vehicles [v]: louer; prendre en location; donner en location,employment [v]: employer; engager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hired,employment [a]: employé; engagé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hireling,military [n]: mercenaire [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hire out,vehicles [v]: louer; donner en location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historiography,history [n]: historiographie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
history,reputation [n]: passé [m],story [n]: chronique [f]; histoire [f],science [n]: histoire [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
histrionic,behavior [a]: histrionique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
histrionics,behavior [n]: airs [mp] dramatiques; cabotinage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,weapon [n]: coup [m],music [n]: chanson [f] à succès; tube [informal],gun [v]: toucher,objects [v]: heurter; cogner,nautical [v]: entrer en collision avec; aborder,person [v]: frapper; battre,,,,,,,,,,,,,,,,,,,,,,,,
hit and miss,action [o]: fait au petit bonheur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit-and-run accident,law [n]: délit [m] de fuite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit-and-run driver,law - man [n]: chauffeur [m] coupable du délit [m] de fuite,law - woman [n]: conductrice [f] coupable du délit [m] de fuite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit back,answer [v]: riposter; répliquer; rétorquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitch,difficulty [n]: hic [m (informal)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitchhike,general [v]: faire de l'auto-stop; faire du stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitchhiker,man [n]: auto-stoppeur [m],woman [n]: auto-stoppeuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy,general [n]: hiérarchie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hieroglyph,history [n]: hiéroglyphes [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hieroglyphic,history [a]: hiéroglyphique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hieroglyphical,history [a]: hiéroglyphique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hieroglyphics,writing [n]: hiéroglyphes [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi-fi,music [a]: hi-fi,music [n]: hi-fi [f (invariable)]; haute-fidélité [f (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
higgledy-piggledy,disorder [o]: en désordre; pêle-mêle; sens dessus dessous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,general [a]: haut,narcotics [a]: drogué,prices [a]: élevé,size [a]: élevé,prices [n]: plafond [m],meteorology [n]: zone [f] de hautes pressions; zone [f] de haute pression,general [o]: haut,,,,,,,,,,,,,,,,,,,,,,,
high-beam headlights,automobiles [n]: phares [mp] de route; pleins phares [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highborn,nobility [a]: de haute naissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highboy,furniture [n]: commode [f] haute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highbrow,intelligence - man [n]: intellectuel [m]; cerveau [m],intelligence - woman [n]: intellectuelle [f]; cerveau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-class,quality [a]: de première classe; de première qualité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high class,quality [a]: de première classe; de première qualité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high commissioner,politics [n]: haut-commissaire [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
higher,speed [a]: supérieur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
higher up,career [o]: plus haut,position [o]: plus haut; supérieur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highest,position [a]: supérieur; du haut; d'en haut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highest common factor,mathematics [n]: P.G.C.D. [m]; plus grand commun diviseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highest officer in rank,military [n]: officier [m] le plus haut en grade; officier [m] de grade le plus élevé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high fidelity,music [n]: hi-fi [f (invariable)]; haute-fidélité [f (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-flown,language [a]: ampoulé; pompeux; déclamatoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high forehead,hair [n]: front [m] dégarni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-frequency,electricity [a]: à haute fréquence; de haute fréquence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-handed,behavior [a]: tyrannique; despotique; arbitraire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-hat,general [a]: snob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highjack,crime [v]: détourner; pirater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-jack,crime [v]: détourner; pirater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highjacker,crime - man [n]: pirate [m] de l'air,crime - woman [n]: pirate [m] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-jacker,crime - man [n]: pirate [m] de l'air,crime - woman [n]: pirate [m] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highjacking,crime [n]: piraterie [f] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highlander,ethnology - man [n]: habitant [m] de la Haute-Écosse,ethnology - woman [n]: habitante [f] de la Haute-Écosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlands,geography [n]: Highlands [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-level,general [a]: d'un haut niveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highlight,important fact [n]: point [m] culminant; clou [m]; point [m] marquant; grand moment [m],conversation [v]: accentuer; appuyer sur; attirer l'attention sur; mettre en relief; souligner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highlights,hair [n]: mèches [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highly necessary,necessity [a]: dont on a grandement besoin; de la plus haute nécessité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-minded,morality [a]: d'âme noble; de caractère élevé; aux sentiments généreux; de nature magnanime,behavior [a]: à l'âme noble; de caractère élevé; de nature magnanime; aux sentiments généreux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high mountains,geography [n]: hautes montagnes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highness,measures - weights [n]: hauteur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highness,title [n]: Altesse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high official,woman [n]: haut dignitaire [m],person - man [n]: dignitaire [m],person - woman [n]: dignitaire [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
high-pitched,voice [a]: aigu; criard,sound [a]: aigu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-powered,person [a]: puissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-pressure,technical [a]: à haute pression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-priced,money [a]: coûteux; cher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-principled,person [a]: aux principes élevés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-ranking,general [a]: de haut rang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high relief,art [n]: haut-relief [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highroad,traffic [n]: grand-route [f]; grande route [f]; route [f] nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high school,schools [n]: école [f] secondaire; lycée [m]; collège [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high school diploma,schools [n]: diplôme [m] de fin d'études secondaires; baccalauréat [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high school graduate,high school - man [n]: bachelier [m],high school - woman [n]: bachelière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
high seas,nautical [n]: haute mer [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high season,tourism [n]: haute saison [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high society,people [n]: haute société [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-sounding,meaningless [a]: pompeux; ronflant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-speed,speed [a]: ultra-rapide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-spirited,exuberant [a]: exubérant; expansif; débordant; débordant de vie; plein de vie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-spiritedness,mental condition [n]: exubérance [f]; gaieté [f] débordante; vitalité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-strung,fidgety [a]: nerveux; frétillant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-tech,industry [a]: de technologie avancée; d'une technologie de pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hightech,technology [a]: high-tech [invariable]; de technologie avancée,general [n]: technologie [f] avancée; technologie [f] de pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-technology,industry [a]: de technologie avancée; d'une technologie de pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high technology,general [n]: technologie [f] avancée; technologie [f] de pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high tension,electricity [n]: haute tension [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high tide,nautical [n]: marée [f] haute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high treason,crime [n]: haute trahison [f],law [n]: haute trahison [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
high voltage,electricity [n]: haute tension [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high wall,construction [n]: muraille [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high water,river [n]: crue [f],nautical [n]: marée [f] haute,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highway,traffic [n]: autoroute [f]; grand-route [f]; grande route [f]; route [f] nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highwayman,crime - man [n]: bandit [m] de grand chemin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high wire walker,acrobatics - man [n]: funambule [m]; fildefériste [m]; équilibriste [m]; danseur [m] de corde,acrobatics - woman [n]: funambule [f]; fildefériste [f]; équilibriste [f]; danseuse [f] de corde,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hijack,crime [v]: détourner; pirater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hijacker,crime - man [n]: pirate [m] de l'air,crime - woman [n]: pirate [m] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hijacking,crime [n]: piraterie [f] de l'air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hike,sports [n]: excursion [f] à pied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiker,sports - walking - man [n]: randonneur [m],sports - walking - woman [n]: randonneuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiking,sports [n]: tourisme [m] à pied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilarious,behavior [a]: hilarant; désopilant; cocasse; très drôle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilarity,general [n]: hilarité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hill,geology [n]: colline [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hillock,geology [n]: petite colline [f]; tertre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hillside,mountain [n]: flanc [m] de colline; flanc [m]; coteau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilly,geology [a]: montagneux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilt,small arms [n]: poignée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
him,pers. pron. - indirect object [o]: lui,pers. pron. - direct object [o]: le,,,,,,,,,,,,,,,,,,,,,,,,,,,,
himself,reflexive pronoun [o]: se; s',reflexive pron. - stressed [o]: lui-même,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hind,posterior [a]: de derrière; postérieur,deer - female [n]: biche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinder,general [v]: empêcher,activity [v]: gêner; entraver,clothing [v]: embarrasser,,,,,,,,,,,,,,,,,,,,,,,,,,,
hindering,clogging [n]: obstruction [f]; encrassement [m]; colmatage [m]; empâtement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,language [n]: hindi [m]; hindoustani [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hindquarters,animals [n]: arrière-train [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hindrance,reason [n]: obstacle [m]; entrave [f]; empêchement [m]; écueil [m],obstacle [n]: empêchement [m]; obstacle [m]; contretemps [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hindsight,general [n]: sagesse [f] d'après coup; sagesse [f] rétrospective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindu,religion - man [n]: Hindou [m],religion - woman [n]: Hindoue [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinduism,religion [n]: hindouisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinge,door [n]: gond [m]; charnière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinged,technical [a]: à charnière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint,sign [n]: brin [m]; soupçon [m]; petit peu [m]; pointe [f],information [n]: indication [f]; indice [m]; suggestion [f]; signe [m],situation [n]: allusion [f]; référence [f]; sous-entendu [m]; insinuation [f],quantity [n]: soupçon [m]; pointe [f],,,,,,,,,,,,,,,,,,,,,,,,,,
hoarse,voice [a]: rauque; enroué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hockey,sports [n]: hockey [m]; hockey [m] sur glace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hocus-pocus,conjuration [n]: conjuration [f]; adjuration [f]; incantation [f]; parole [f] magique; formule [f] magique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hodgepodge,disorder [n]: mélange [m] confus; méli-mélo [m],culinary [n]: salmigondis [m]; ragoût [m] de restes de viandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoe,tools [n]: houe [f],horticulture [v]: biner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hog,animal husbandry [n]: porc [m] à l'engrais; porc [m] élevé en batterie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hogshead,measures - weights [n]: barrique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hogwash,importance [n]: bêtises [fp]; balivernes [fp]; foutaises [fp]; blagues [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoist,tools [n]: palan [m],flag [v]: hisser,objects [v]: hisser,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoist out of,object [v]: sortir de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold,hand [n]: prise [f],general [v]: tenir,volume [v]: contenir,seat [v]: réserver,theory [v]: appliquer,telephone [v]: attendre; ne pas quitter; rester en ligne,position [v]: tenir,event [v]: avoir lieu,construction [v]: maintenir; soutenir; tenir,people [v]: contenir; pouvoir recevoir; avoir de la place pour,retain [v]: retenir; maintenir,,,,,,,,,,,,,,,,,,,
holdall,container [n]: fourre-tout [m (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold as sacred,general [v]: chérir; conserver chèrement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold back,money [v]: déduire; retenir,feelings [v]: refouler; ravaler; retenir; contenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold down,prices [v]: maintenir le niveau,food [v]: garder,person [v]: tenir sous le joug [literature]; asservir; subjuguer; réprimer; opprimer; maintenir à terre; maintenir au sol,,,,,,,,,,,,,,,,,,,,,,,,,,,
holder,writing materials [n]: étui [m]; trousse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold firm,conviction [v]: tenir bon; tenir ferme; tenir le coup [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold forth,subject [v]: disserter; pérorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold in,yawn [v]: réprimer; retenir; étouffer,feelings [v]: étouffer; ravaler; retenir; contenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holding company,business company [n]: holding [m]; société [f] de holding; société [f] de portefeuille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold out,general [v]: tendre; présenter,resistance [v]: tenir bon; tenir ferme; résister; tenir le coup [informal],conviction [v]: tenir bon; tenir ferme; tenir le coup [informal],mental condition [v]: endurer; supporter; tenir le coup,,,,,,,,,,,,,,,,,,,,,,,,,,
hold out false hopes to someone,deception [v]: faire de fausses promesses à quelqu'un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold over,time [v]: différer; remettre; ajourner; retarder; tarder,delay [v]: remettre; ajourner; arriérer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold the line,telephone [v]: attendre; ne pas quitter; rester en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold tight,general [v]: serrer fort; étreindre; se cramponner à; s'accrocher à,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdup,delay [n]: retard [m],crime [n]: hold-up [m]; attaque [f] à main armée,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold up,weight [v]: soutenir,construction [v]: porter; supporter; soutenir,crime [v]: attaquer à main armée; faire un hold-up; braquer [slang],time [v]: différer; reporter,,,,,,,,,,,,,,,,,,,,,,,,,,
hold up the prospect of,future [v]: faire miroiter; faire entrevoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hole,general [n]: trou [m],wall [n]: ouverture [f],cavity [n]: cavité [f]; creux [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
hole-and-corner,deception [a]: clandestin; conclu en sous-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday,general [n]: jour [m] férié,celebration [n]: jour [m] férié,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiness,general [n]: sainteté [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland,geography [n]: Hollande [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollander,ethnology - man [n]: Hollandais [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holler,voice [v]: brailler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollow,general [a]: creux,words [a]: vain; futile,cavernous [a]: caverneux; creux,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollowness,concavity [n]: concavité [f]; incurvation [f]; courbe [f]; creux [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holly,botany [n]: houx [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollyhock,botany [n]: rose [f] trémière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holocaust,disaster [n]: holocauste [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hologram,photography [n]: hologramme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holography,photography [n]: holographie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holster,small arms [n]: étui [m] de revolver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holy,religion [a]: saint; béni; sacré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Communion,religion [n]: sainte communion [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Ghost,religion [n]: Saint-Esprit [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Spirit,religion [n]: Saint-Esprit [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holy water,religion [n]: eau [f] bénite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homage,general [n]: hommage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home,place [n]: domicile [m]; demeure [f]; résidence [f]; maison [f],building [n]: maison [f],medicine [n]: asile [m]; foyer [m],place [o]: à la maison,,,,,,,,,,,,,,,,,,,,,,,,,,
home-baked,culinary [a]: fait à la maison; cuit à la maison; de ménage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homebody,man [n]: casanier [m]; sédentaire [m]; pantouflard [m (informal)],woman [n]: casanière [f]; sédentaire [f]; pantouflarde [f (informal)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
homecoming,general [n]: retour [m] au foyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home economics,general [n]: économie [f] domestique,science [n]: économie [f] domestique; arts [mp] ménagers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home for the elderly,geriatrics [n]: maison [f] de retraite; home [m] pour personnes âgées [b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home front,family [n]: siens [mp]; maison [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homegrown,garden [a]: du jardin,country [a]: du pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home-grown products,horticulture [n]: culture [f] autochtone; culture [f] indigène; produits [mp] agricoles du pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeland,general [n]: patrie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeless,person [a]: sans foyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeless people,people [n]: sans-abri [m (invariable)]; sans-logis [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homelike,comfortable [a]: confortable; agréable; bien à l'aise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homely,everyday [a]: simple; ordinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade,culinary [a]: fait à la maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeopath,medicine - man [n]: homéopathe [m],medicine - woman [n]: homéopathe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeopathic,medicine [a]: homéopathique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeopathy,medicine [n]: homéopathie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home produce,horticulture [n]: culture [f] autochtone; culture [f] indigène; produits [mp] agricoles du pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homesick,feelings [a]: nostalgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homesickness,feelings [n]: mal [m] du pays; nostalgie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hometown,place [n]: ville [f] natale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeward,direction [a]: vers sa demeure; à la maison,direction [o]: à la maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homewards,direction [o]: à la maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homework,schools - universities [n]: devoirs [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homey,place [a]: accueillant,comfortable [a]: confortable; agréable; bien à l'aise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homicidal,law [a]: homicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homicide,law [n]: homicide [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homily,warning [n]: sermon [m]; mercuriale [f (literature)]; réprimande [f],religion [n]: homélie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
homing pigeon,mail [n]: pigeon [m] voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hominoid,anthropology [a]: anthropoïde; à l'aspect humain,anthropology [n]: anthropoïde [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hominy,culinary [n]: maïs [m] concassé et bouilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homogeneity,general [n]: homogénéité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homogeneous,general [a]: homogène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homogenize,general [v]: homogénéiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
